,Date,Count,Crime_Category,Region
0,2016-01-31,148498,17 Community Reported Serious Crime,South Africa
1,2016-02-29,145775,17 Community Reported Serious Crime,South Africa
2,2016-03-31,153130,17 Community Reported Serious Crime,South Africa
3,2016-04-30,145951,17 Community Reported Serious Crime,South Africa
4,2016-05-31,146622,17 Community Reported Serious Crime,South Africa
5,2016-06-30,137786,17 Community Reported Serious Crime,South Africa
6,2016-07-31,140891,17 Community Reported Serious Crime,South Africa
7,2016-08-31,152511,17 Community Reported Serious Crime,South Africa
8,2016-09-30,148738,17 Community Reported Serious Crime,South Africa
9,2016-10-31,153182,17 Community Reported Serious Crime,South Africa
10,2016-11-30,149276,17 Community Reported Serious Crime,South Africa
11,2016-12-31,151892,17 Community Reported Serious Crime,South Africa
12,2017-01-31,139237,17 Community Reported Serious Crime,South Africa
13,2017-02-28,132771,17 Community Reported Serious Crime,South Africa
14,2017-03-31,146528,17 Community Reported Serious Crime,South Africa
15,2017-04-30,134741,17 Community Reported Serious Crime,South Africa
16,2017-05-31,139957,17 Community Reported Serious Crime,South Africa
17,2017-06-30,132001,17 Community Reported Serious Crime,South Africa
18,2017-07-31,135735,17 Community Reported Serious Crime,South Africa
19,2017-08-31,140403,17 Community Reported Serious Crime,South Africa
20,2017-09-30,138446,17 Community Reported Serious Crime,South Africa
21,2017-10-31,146134,17 Community Reported Serious Crime,South Africa
22,2017-11-30,145254,17 Community Reported Serious Crime,South Africa
23,2017-12-31,148982,17 Community Reported Serious Crime,South Africa
24,2018-01-31,137104,17 Community Reported Serious Crime,South Africa
25,2018-02-28,130557,17 Community Reported Serious Crime,South Africa
26,2018-03-31,141260,17 Community Reported Serious Crime,South Africa
27,2018-04-30,134298,17 Community Reported Serious Crime,South Africa
28,2018-05-31,138263,17 Community Reported Serious Crime,South Africa
29,2018-06-30,132091,17 Community Reported Serious Crime,South Africa
30,2018-07-31,137304,17 Community Reported Serious Crime,South Africa
31,2018-08-31,141526,17 Community Reported Serious Crime,South Africa
32,2018-09-30,136423,17 Community Reported Serious Crime,South Africa
33,2018-10-31,144991,17 Community Reported Serious Crime,South Africa
34,2018-11-30,147274,17 Community Reported Serious Crime,South Africa
35,2018-12-31,151865,17 Community Reported Serious Crime,South Africa
36,2019-01-31,137419,17 Community Reported Serious Crime,South Africa
37,2019-02-28,133545,17 Community Reported Serious Crime,South Africa
38,2019-03-31,146329,17 Community Reported Serious Crime,South Africa
39,2019-04-30,136787,17 Community Reported Serious Crime,South Africa
40,2019-05-31,138889,17 Community Reported Serious Crime,South Africa
41,2019-06-30,126347,17 Community Reported Serious Crime,South Africa
42,2019-07-31,136305,17 Community Reported Serious Crime,South Africa
43,2019-08-31,136974,17 Community Reported Serious Crime,South Africa
44,2019-09-30,134024,17 Community Reported Serious Crime,South Africa
45,2019-10-31,145936,17 Community Reported Serious Crime,South Africa
46,2019-11-30,141432,17 Community Reported Serious Crime,South Africa
47,2019-12-31,142736,17 Community Reported Serious Crime,South Africa
48,2020-01-31,135023,17 Community Reported Serious Crime,South Africa
49,2020-02-29,133888,17 Community Reported Serious Crime,South Africa
50,2020-03-31,127555,17 Community Reported Serious Crime,South Africa
51,2020-04-30,73190,17 Community Reported Serious Crime,South Africa
52,2020-05-31,86575,17 Community Reported Serious Crime,South Africa
53,2020-06-30,106730,17 Community Reported Serious Crime,South Africa
54,2020-07-31,105177,17 Community Reported Serious Crime,South Africa
55,2020-08-31,117678,17 Community Reported Serious Crime,South Africa
56,2020-09-30,129422,17 Community Reported Serious Crime,South Africa
57,2020-10-31,135207,17 Community Reported Serious Crime,South Africa
58,2020-11-30,131697,17 Community Reported Serious Crime,South Africa
59,2020-12-31,132814,17 Community Reported Serious Crime,South Africa
60,2021-01-31,101562,17 Community Reported Serious Crime,South Africa
61,2021-02-28,116207,17 Community Reported Serious Crime,South Africa
62,2021-03-31,130151,17 Community Reported Serious Crime,South Africa
0,2016-01-31,58,Abduction,South Africa
1,2016-02-29,54,Abduction,South Africa
2,2016-03-31,54,Abduction,South Africa
3,2016-04-30,41,Abduction,South Africa
4,2016-05-31,40,Abduction,South Africa
5,2016-06-30,36,Abduction,South Africa
6,2016-07-31,58,Abduction,South Africa
7,2016-08-31,47,Abduction,South Africa
8,2016-09-30,57,Abduction,South Africa
9,2016-10-31,49,Abduction,South Africa
10,2016-11-30,47,Abduction,South Africa
11,2016-12-31,58,Abduction,South Africa
12,2017-01-31,57,Abduction,South Africa
13,2017-02-28,50,Abduction,South Africa
14,2017-03-31,50,Abduction,South Africa
15,2017-04-30,38,Abduction,South Africa
16,2017-05-31,44,Abduction,South Africa
17,2017-06-30,52,Abduction,South Africa
18,2017-07-31,30,Abduction,South Africa
19,2017-08-31,46,Abduction,South Africa
20,2017-09-30,52,Abduction,South Africa
21,2017-10-31,31,Abduction,South Africa
22,2017-11-30,33,Abduction,South Africa
23,2017-12-31,44,Abduction,South Africa
24,2018-01-31,55,Abduction,South Africa
25,2018-02-28,27,Abduction,South Africa
26,2018-03-31,31,Abduction,South Africa
27,2018-04-30,44,Abduction,South Africa
28,2018-05-31,34,Abduction,South Africa
29,2018-06-30,30,Abduction,South Africa
30,2018-07-31,39,Abduction,South Africa
31,2018-08-31,40,Abduction,South Africa
32,2018-09-30,26,Abduction,South Africa
33,2018-10-31,26,Abduction,South Africa
34,2018-11-30,38,Abduction,South Africa
35,2018-12-31,56,Abduction,South Africa
36,2019-01-31,51,Abduction,South Africa
37,2019-02-28,41,Abduction,South Africa
38,2019-03-31,38,Abduction,South Africa
39,2019-04-30,29,Abduction,South Africa
40,2019-05-31,25,Abduction,South Africa
41,2019-06-30,31,Abduction,South Africa
42,2019-07-31,33,Abduction,South Africa
43,2019-08-31,23,Abduction,South Africa
44,2019-09-30,21,Abduction,South Africa
45,2019-10-31,53,Abduction,South Africa
46,2019-11-30,46,Abduction,South Africa
47,2019-12-31,31,Abduction,South Africa
48,2020-01-31,40,Abduction,South Africa
49,2020-02-29,39,Abduction,South Africa
50,2020-03-31,15,Abduction,South Africa
51,2020-04-30,10,Abduction,South Africa
52,2020-05-31,22,Abduction,South Africa
53,2020-06-30,18,Abduction,South Africa
54,2020-07-31,21,Abduction,South Africa
55,2020-08-31,28,Abduction,South Africa
56,2020-09-30,42,Abduction,South Africa
57,2020-10-31,44,Abduction,South Africa
58,2020-11-30,44,Abduction,South Africa
59,2020-12-31,33,Abduction,South Africa
60,2021-01-31,21,Abduction,South Africa
61,2021-02-28,29,Abduction,South Africa
62,2021-03-31,30,Abduction,South Africa
